,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499
0,0.7,0.7,0.84,0.72,0.66,0.76,0.7,0.7,0.68,0.7,0.8,0.68,0.68,0.76,0.72,0.82,0.78,0.76,0.72,0.88,0.8,0.74,0.6,0.66,0.68,0.74,0.78,0.72,0.64,0.8,0.8,0.62,0.74,0.74,0.64,0.78,0.74,0.8,0.88,0.72,0.76,0.76,0.72,0.76,0.76,0.82,0.82,0.78,0.84,0.72,0.74,0.8,0.78,0.72,0.82,0.78,0.7,0.6,0.8,0.86,0.78,0.8,0.68,0.78,0.72,0.74,0.66,0.76,0.82,0.74,0.64,0.68,0.74,0.76,0.8,0.66,0.72,0.7,0.74,0.74,0.68,0.8,0.64,0.78,0.68,0.72,0.68,0.72,0.72,0.74,0.66,0.72,0.72,0.74,0.82,0.7,0.7,0.74,0.86,0.82,0.72,0.8,0.78,0.8,0.72,0.8,0.82,0.66,0.64,0.74,0.74,0.8,0.76,0.78,0.8,0.64,0.72,0.7,0.7,0.76,0.74,0.8,0.76,0.66,0.64,0.68,0.62,0.7,0.76,0.74,0.7,0.74,0.72,0.72,0.74,0.76,0.8,0.74,0.68,0.78,0.74,0.76,0.68,0.76,0.64,0.76,0.72,0.66,0.78,0.74,0.76,0.66,0.72,0.74,0.82,0.68,0.7,0.72,0.78,0.68,0.62,0.72,0.72,0.7,0.72,0.84,0.82,0.8,0.76,0.7,0.7,0.74,0.7,0.72,0.68,0.78,0.78,0.7,0.76,0.82,0.76,0.8,0.68,0.7,0.86,0.82,0.62,0.76,0.64,0.78,0.72,0.7,0.68,0.88,0.72,0.82,0.84,0.76,0.76,0.86,0.7,0.74,0.72,0.78,0.74,0.78,0.68,0.7,0.66,0.7,0.82,0.68,0.74,0.78,0.66,0.74,0.7,0.74,0.76,0.8,0.64,0.84,0.74,0.72,0.82,0.8,0.78,0.76,0.76,0.76,0.76,0.64,0.72,0.82,0.78,0.7,0.84,0.72,0.66,0.72,0.68,0.72,0.74,0.78,0.72,0.8,0.78,0.78,0.84,0.78,0.72,0.76,0.62,0.76,0.8,0.78,0.76,0.78,0.64,0.72,0.74,0.78,0.68,0.72,0.86,0.76,0.66,0.6,0.76,0.72,0.68,0.7,0.78,0.74,0.84,0.76,0.74,0.76,0.7,0.62,0.68,0.66,0.78,0.78,0.82,0.82,0.78,0.76,0.76,0.68,0.68,0.78,0.76,0.84,0.7,0.74,0.84,0.7,0.72,0.82,0.68,0.62,0.86,0.86,0.74,0.84,0.78,0.68,0.78,0.66,0.72,0.76,0.8,0.72,0.82,0.76,0.7,0.78,0.72,0.74,0.74,0.7,0.74,0.72,0.7,0.74,0.84,0.82,0.74,0.8,0.7,0.76,0.84,0.7,0.76,0.82,0.74,0.78,0.8,0.8,0.84,0.74,0.7,0.68,0.76,0.68,0.74,0.76,0.76,0.8,0.88,0.62,0.78,0.8,0.74,0.8,0.76,0.76,0.8,0.8,0.7,0.86,0.66,0.66,0.68,0.78,0.8,0.84,0.62,0.7,0.84,0.68,0.58,0.7,0.74,0.78,0.64,0.72,0.76,0.78,0.78,0.72,0.76,0.78,0.72,0.7,0.8,0.8,0.72,0.78,0.76,0.72,0.82,0.74,0.82,0.82,0.72,0.8,0.7,0.66,0.7,0.82,0.7,0.78,0.64,0.76,0.76,0.8,0.8,0.74,0.68,0.8,0.74,0.76,0.7,0.74,0.8,0.78,0.84,0.76,0.64,0.8,0.78,0.74,0.78,0.74,0.8,0.74,0.74,0.74,0.68,0.68,0.82,0.78,0.7,0.74,0.76,0.76,0.74,0.76,0.8,0.8,0.74,0.78,0.72,0.74,0.72,0.78,0.76,0.78,0.78,0.74,0.74,0.74,0.78,0.74,0.7,0.76,0.74,0.8,0.7,0.58,0.68,0.66,0.78,0.74,0.68,0.78,0.68,0.72,0.8,0.76,0.72,0.74,0.74,0.8,0.6,0.8,0.7,0.74,0.66,0.74,0.66,0.8,0.76,0.76,0.68,0.8,0.7,0.66,0.62,0.72,0.78,0.68,0.7,0.72,0.78,0.86,0.76,0.76
1,3.0946766580435807,3.0999330987918987,2.7068323225635083,3.0554134461639406,3.274843100040394,2.932511778519444,3.0945676246887768,3.035300049489446,3.068375023491245,3.083576947472225,2.9345017725890483,3.111334348856174,3.091596308760976,2.9697783687787536,2.9717032307237905,2.9657288646412807,2.889164108521737,3.0256373112404944,3.0277289286543367,2.7071259509282504,2.8435228546441653,2.97261198812817,3.2414933152598464,3.072534891641707,3.226279938839304,3.1336295753168586,3.0194105522777073,2.8555822761060545,3.2054922452763934,2.8725039701287387,2.839665717029436,3.1585069576407094,2.957466624281067,3.063520315654376,3.1502398894392996,2.8622413902746207,2.9095510848968544,2.929059283610402,2.6330993720563067,3.1535320648522034,2.911997012393793,2.80732122637366,3.0898906421062837,3.0116921649774118,2.7964661206391375,2.804988464580349,2.8160650365237823,2.908371736703764,2.8190263509888234,3.054675421697903,3.049348560257706,2.7845124816045876,2.9511420539036277,2.983445046710887,2.762103934342945,2.9504295687789432,3.10993654233639,3.2594418108678944,2.8821021510863503,2.7867875239528415,2.8375973354874877,2.8390234559862035,3.002345107157168,2.92933782887004,3.0241855684939907,2.9577672647599775,3.1030133504006145,3.1122322401797344,2.9335533154180515,3.0704532711308783,3.069373260041645,3.034950145861866,3.0057157356765023,2.8284402080102815,2.919489138717382,3.080931741669115,2.940640250464278,2.986645243316146,3.012853263437108,3.032116419479115,3.115128436933335,2.8356088917670474,3.1911325017298826,2.8992041162217173,3.201875084059521,3.1556301967178246,3.076944352572451,3.010633398187459,3.1035246075030556,2.8151745684020053,3.0713539869671913,3.007865799385137,3.2232456772106377,3.0658995094115586,2.8938625232043282,2.8939625978547876,3.1362844506029437,2.9813605961623986,2.8528028330305126,2.890734527197762,3.0859578051707905,2.8935426094908197,2.846146288082914,2.847023892159231,3.222469446658087,2.8610248378301266,2.8185578892643424,3.0631752026298953,2.975476574773779,2.9115248751123692,2.862895863332638,2.821414551417769,2.9814233571026816,2.920956901318829,2.8279244061885125,3.2295070146516203,2.985925718409034,3.068233258950699,2.9973255323338375,3.0638302570825644,2.942719383356389,2.93628133169355,3.009021426542393,3.0865377367618776,3.113970870353239,3.026045529127595,3.1934865229900353,3.0019513366215143,2.918165280927011,2.8949945094934058,3.068510333625412,3.0292125543014436,3.116270793379597,3.0607847848532517,3.0936137711061527,2.9369712576913183,2.9075712224916757,2.9981715377414884,3.0224044515381965,2.877973300544936,3.1825394964575127,2.9500805957671905,3.136181718553181,2.9204877084280563,3.1432273179216903,2.875101256539355,3.1217806427241257,3.02215959319175,2.867375159691515,2.9626233280229135,3.036953741616417,3.1495809752052946,3.103621023391396,2.9215061578023893,2.917927461952392,3.1039834993459854,3.094880860758624,3.0035437862198124,2.8559465054136757,3.0668430422351878,3.091698324962683,2.9682042608963397,2.9513805802259383,2.999552824228727,3.2778822198569473,3.0517056371205395,2.6322587734486516,2.6956368143618255,2.9320728966585112,2.933646321513704,2.9944758958549516,3.0656597546374207,3.0657019928043123,3.12094153613483,3.047097524576818,2.8228242726136847,2.949771086229362,3.0193799965980497,3.0386213129673068,2.910154060439008,2.9366197293141902,2.861255559187116,3.093856130360464,3.039690921810697,2.800790925009183,2.761966247095498,3.2351142633608863,2.8963003352943533,2.996148141557971,2.8872765889442547,3.0532836032378934,3.1298485530642277,3.1375025125205878,2.7672935588832925,3.1571184920500084,2.836035540728248,2.8618142088137244,3.0529076957888233,3.0863957437798244,2.7824712830500986,2.9883067033303177,3.0397432440512047,3.055214317802403,2.9560529345458115,2.8312782034425408,2.97841966330051,3.203324828596777,3.0522980278392575,3.172907086599779,2.9212043622581096,2.8239234821222183,3.136544913751674,2.9857122195357637,2.9974104780313438,3.093530629634812,2.9852714809884806,3.100929995681045,2.9323219914316754,2.9079520870522964,2.928569969753426,3.197931782994521,2.6667326197685584,3.091505926703078,2.95329502442406,2.935590292717834,2.8347827109503085,2.98160049380927,3.0206834070182524,2.9129056215112707,3.009988920376629,2.9778583406913524,3.1600617242858733,2.9879800934025273,2.8551353690301564,2.8988164171556208,3.135389503873356,2.702019392141009,2.916719809710538,2.9766362400325206,3.0971991202738427,3.140882351457678,3.1381170386916035,3.0661434632569646,2.8156228796805927,2.9764509857319377,2.7616446112099573,2.832955227581802,2.8808749706063277,2.86958413156747,2.999179664222379,2.943722571977025,2.8870452136665805,3.2845165031429016,2.929638747484618,2.8178579373669943,2.853797898461201,2.9845889288219607,2.898425786352312,3.17272337186655,2.991658792096961,3.0272584924341897,3.019310917796653,3.3113250308942277,2.911716537900076,2.8232823314356024,2.951759256411209,3.177621748031128,3.2103514936146937,2.900554128844551,2.838883293395096,3.102968632483716,3.082472710670442,2.8574047145719033,3.003401424564288,2.7550825565793398,2.944898879753331,3.0401276335737166,2.859902648834038,3.132503823214808,3.1798034946912574,3.0919135466801766,3.029280583752218,3.0170231174785958,2.8963620214995425,2.9347418553990345,2.7040885743425482,2.855691199310667,3.0194415007935858,2.979126048926993,3.049117858091828,3.2444345640886585,2.8351435683730357,2.8315661810584465,2.7855805750694467,3.0668026188237336,2.8674272377379233,2.773212020155446,3.092805364690989,3.076889708237364,2.886718319656026,3.0922671084853923,3.1651652565680917,2.8578248183483006,2.6767958978792836,2.9187718315307207,3.0337039955873824,2.7271327934443454,2.966130572409752,2.8415289821232173,3.019460051538643,3.0935887842355454,3.015665228662686,2.6600066676231093,2.980360197484409,3.0064279445583004,3.0551905770965244,3.1611188162871175,2.8778342499337914,3.1688247354116164,3.1091454484555263,2.9587064102416085,3.108634888007851,3.054048173629649,3.0581862245463705,2.990975025628337,2.9389893751116185,2.7258621199268407,2.762474518690541,3.0472508998765266,2.906722283873348,3.1400387433498533,3.0108318411987285,2.8225394204282543,3.0731773808562624,2.994573899739517,2.9057581543659206,2.977277779222675,2.844373433584152,2.741351270014302,2.763792866747355,2.8177794757666925,2.8386528773090376,2.969079364657441,3.142441577861188,3.008770344466281,3.102339812174625,3.049754188079302,2.841243975584552,2.9434775252577627,2.7885182846432324,2.7988427342736073,3.1498793283315107,3.0713367653296,2.689544055370615,2.9379293908543285,2.972342515130752,2.938174211165079,3.097943489333505,3.0121713018798877,2.8003691819894976,3.0838230479974684,2.648790246356159,3.175097459591787,3.168678526835202,2.9865375483352588,2.973174202975295,2.9019790460606676,2.9402684391744103,2.999997175471237,3.175724173055755,2.901300057193857,3.1054746161758935,3.17337564277531,3.0224599328110755,2.9975692813983494,2.9762811883866296,3.1931395071823823,3.051018947926199,3.0981382462525153,3.0638899998006917,2.901072371130099,3.1422401794514405,2.9801332193597165,2.8781019368069036,3.00277636556924,3.107004708491802,2.9856408240936476,3.0960240304348425,3.093319055531112,2.9634458746936883,2.944467457253179,3.2111092346497108,2.989235447069505,3.0278751836197113,2.8528845511524796,2.9204691579867936,2.9754734344252993,2.7509435575284864,2.889805476018194,3.2070457429328667,3.2038746834905654,2.851481740019193,3.0627842713332107,2.937926671054183,3.1688766929124585,2.786805635529424,2.889423925055154,2.847965388045532,2.935290476408641,2.9649360255188766,3.1701400477052886,2.816178036458346,3.0263591649358554,2.9371948902419716,3.032628713157809,2.913156933707555,2.7889486385970295,2.8742298790750156,2.817958851623192,2.901680921883313,3.0707509776369615,2.8731728040675093,2.943179053404888,2.909707827883181,3.0307457768213695,2.9178150026860994,2.914656253085231,3.035653621882619,3.0980624531581946,2.965451071156631,3.1077417761221002,2.9918096176436375,2.812809314474299,2.9920073723083593,2.8847879037513207,2.8311599573603483,2.9218474400120513,2.97924803621815,2.9312970353919288,2.929625628447425,2.861428295043887,2.7556364113563703,2.8997652577988826,2.906112555975484,2.9084420795818007,2.9319844801370514,2.9371335267485703,2.977183371004812,2.945475159338733,2.9307702836405234,3.1356754055965363,2.8602896541576857,3.0044601459691407,3.069889543140573,2.8091821045215,2.8857275851270563,3.2008772579991622,2.9297399509825777,2.858846949909987,2.9042751961051683,3.1342789456034805,3.2771885159389824,3.141004725347862,3.22942549150002,2.8262623170648413,3.1094540632028433,3.0846878366009114,2.8311862742061162,3.0827622946126754,3.122161231831706,2.971410684470692,2.9721724040184982,2.993931611927504,3.039804814741697,2.933179140006827,2.7704769106254026,3.207860446407712,2.8057723237671093,3.0141940867590424,2.996868572972611,3.256373629702338,2.9603599676544605,3.1732771544979195,2.703636075406482,2.8606857616483996,2.8980420490809857,2.933938346881626,2.7660334622014493,3.0666215015194336,3.143666281108958,3.2640565727221227,2.976966469367162,2.91371846235409,3.0530444824782887,3.0692543350986043,3.0384845054953717,3.0044991494753734,2.854594332184448,2.8032846869596466,2.8912752724197293
2,3.9872721168958853,4.006051003427337,3.97242020287869,3.9907825672705797,3.9954971329705575,3.916396938751792,4.016172654141694,3.996372235458885,3.9224452851040255,4.005880051712448,3.982595555419844,4.016711125797839,3.984075944670133,4.034480437940715,3.993622270219057,3.8799326788082915,3.9017295365256457,3.9655432297941315,3.954785729412473,3.9492482321568017,3.9974011844089348,3.96154247704466,3.9893888281238867,3.921743859869092,3.916637418977534,3.971252595514506,3.9096388997337352,3.955559895280985,3.9352588487866265,3.8582809625903947,3.996694879022648,3.998115055747596,3.9929169584997655,4.002541935339757,3.89328771946234,3.8642819427880135,3.9038556142268206,3.9247357207397995,3.986288156613482,3.998164569665455,3.8978773271324045,3.9006531366315382,4.000547076560168,3.991237735117188,3.937449167004858,3.969445683978653,3.9221166154435987,4.029753281711452,4.019220851517613,3.9370174878365876,3.9868749768691027,3.917091283251914,3.9936911407678113,3.916212409531099,3.930346605334381,3.9384039023839765,3.894260902675853,4.0296953992841,3.985886474023492,3.9504594496097485,3.944728785376835,3.967667123906328,3.9493224844560495,3.9626657276859416,3.95651724745783,4.011479991420359,4.028285509387482,3.9733623804326,3.86955742695504,3.9676309793117097,4.026039318722643,4.000586945754231,3.941006422584698,3.9357389646262666,3.8843340163029274,3.9770222694769792,3.932935142188895,3.985339598133703,3.9438928564896214,3.9176177144192597,3.91432763927165,4.036165403687994,4.024854472182772,4.0016912835600245,3.97080977525714,4.040358746458619,4.021955637074767,4.020852232442387,3.940969824923476,3.9986280100990874,4.014331337559764,3.9703917743017367,3.8987987877901884,3.9851495768287286,3.961450074309376,3.995561065930485,4.0365484210860725,3.9530320139110593,3.9514817375374727,3.930305194887778,3.986014851063473,4.01304087336491,4.006666113863694,4.029502674055119,4.049220014168562,4.023705827200049,3.925602637531026,3.9540491276038234,4.015794894451009,3.9953397314926082,3.9436408613937344,3.936746216334942,3.997646231820127,3.963131384110933,3.920996554306197,3.94997991239824,3.9648239725155143,3.91683815764548,3.960699504628197,3.9555738649660457,3.9606522208701014,3.933621123949492,3.97138251997944,3.909446595986511,3.964782807220901,4.0005716112595024,3.9610160736613858,3.971337047088564,3.960912015711151,3.9946756369362304,3.973906415032959,3.9670240546689337,4.00851635899225,4.005961206967624,3.9606695276218153,3.980791682671479,3.9509772325354646,3.912012766999917,3.9137179652034626,3.962250672438999,3.968520244654914,3.8708310101814702,3.8964526169353184,4.002840911591725,3.948966708433274,4.039904950871632,3.986409181791905,3.974408732330311,3.917115031867318,4.014924767121002,3.8615552314375217,4.009825341112138,4.008384967842183,3.986804470565622,3.9371753467574733,3.9940925052162584,3.9639707164729536,3.9390385637833623,4.011187790823541,3.9683757903658847,3.96709128989839,4.009599173348798,3.9575696917225565,3.9573721311564527,3.993619446022328,4.0006137530508346,3.9854817788931127,3.947180349851306,3.911008081697238,3.9952590610920375,3.9860027837355796,3.950258308505135,3.9771459131391476,3.984208954048387,4.001231016569877,3.9147267802316206,3.9070242572230125,3.9671118474565175,4.027858788661213,3.9515046101147555,4.023622054516417,3.9834664358604255,3.999606365498843,3.9964034205217636,3.9519943978964442,3.8576351665786346,3.9411019748188623,3.983340047552292,3.9315264203656026,4.051124095705173,3.990699336183611,3.980304954395916,3.932859485725147,3.961105895656813,3.946236083952672,3.9749223076337774,4.017396950898546,3.955010613957019,4.016010945152368,3.976677141441848,3.9413144829965714,3.980189251771123,4.0506918080774765,4.024299130413989,3.953738870626448,3.9475132837453835,3.950017881504622,3.9856202753287184,3.9441255296150413,3.9635139931136036,3.9677777567355155,3.9978610362941156,3.974172549536442,3.998256140005268,3.9248781784684694,3.985805897023011,3.9421689591062625,4.004016098829241,3.8878530813736516,3.9654765572774786,3.9664431728130918,3.902674856952544,3.9677637138465203,3.993093036521119,3.952500811941422,3.9057036306059083,3.974014533722634,3.988836469800036,3.9975297101880494,3.961683688483367,3.952220417564983,3.941488387772437,3.9418530752347003,3.9993928943315282,3.9815992344369526,3.9617130159786997,3.8920501539247057,3.894109731871043,4.00091480709596,3.9574241147396427,4.033859111535046,3.9692636393102054,3.946335542854617,3.976971817510802,3.9508862728687046,3.9858926060990107,3.971762792779916,3.9932538818685956,3.9131747734725044,4.016010289203296,3.9539533777370797,3.991458205446258,4.000888531979912,3.972086103217831,3.97987847825079,3.938628682014775,3.90808500638033,3.950390535629598,3.9355342362664065,3.9630365012072857,3.973743131956636,3.9830370195150873,4.007266114126414,3.93067906181785,3.9723563404977127,3.896043523723998,3.9756662911364398,3.994194106223002,4.009123430634228,3.989206314723417,3.938253466855356,3.9308366728183386,4.022540170043538,3.9905933803178937,3.890845638412763,3.9444094852836704,3.92670725547183,4.0338685900430535,3.9945155854260705,3.897169582947843,3.983044675537082,4.024989501976769,3.9503227294901,3.9445846466295085,3.88868977849555,3.884056794298035,3.973872877978428,3.9614702210073345,3.936757861739533,3.9957045616804487,3.92785353889442,3.9512016799814544,3.99021405192085,3.9805684777012305,3.984734083661409,3.9584243101673637,3.9349990530569965,3.9422814465667244,3.9595540124222746,3.9978492554269285,3.9724826657076706,3.8871669015734556,3.9795606527095475,3.940519060927461,3.9736888158699406,3.961212387340553,3.9693050985775176,3.990807962020057,3.8486771972206864,3.9591575409874005,4.002896112963157,3.9981785867635775,3.9416853141914245,3.952332685019953,3.9638146365694507,4.035971338545657,3.993096152772091,3.902381820926405,4.0085154100890605,4.001739357440432,4.0274139721994775,3.974981023220411,4.028307897119636,3.9305297386230076,4.0173386008261245,3.985239929301296,3.94966184077397,3.9515755066247533,4.0026699284770775,3.941668833632288,4.006420362746365,3.98231864480253,3.937255787499223,4.049613649429623,3.9557732350128223,3.9910880956424926,3.934397447972341,3.9700243094310723,4.00701623665888,3.9667353923430797,3.979275844372372,3.9546677388749147,3.976975258048154,4.017964201859568,4.015266665784591,4.004095099444589,3.975218065207818,4.007471627166409,3.8758800747303863,3.9825774207248585,3.922849078855119,3.9848852861911936,3.985415763763819,3.988190155252409,4.015483223070904,3.9615368387327043,3.9659461670921843,3.8860669316730303,3.960424348466829,4.033833266640335,3.974857111267612,3.909646073565594,4.032904778098865,3.98367598312612,3.9927760816364106,4.039678861248507,3.983946780306797,3.9673722982797766,3.89028016343841,3.951234167112959,3.980934872702439,3.8884745607742532,3.978740963269093,3.999837094110749,3.9652816319149493,3.957948248157138,3.9542232874838574,4.004619716521914,3.955887106966746,4.023493185822322,3.9399484474033457,4.009706010630115,3.974825910240841,3.8380143129499307,3.8804127242989583,3.9647383646565526,3.988449197617075,3.9831281066570825,3.9303493970823835,3.99695504917778,4.023658774080117,3.970017805132048,3.9172694200608156,3.9911055739963057,3.99978948825523,3.918246384351776,4.0049036430527405,3.9568135969110694,3.9426988517703694,3.9341491187115145,3.9892898038402103,4.00564761485563,3.9243929794025547,3.971978756737236,3.952388851372242,3.916914628641023,3.950949226221856,3.9291015108738474,3.981735872842025,3.9801054367357973,3.925680247676226,3.9427508299196266,3.9450824511449882,3.895188843749759,3.9643547842095854,3.988846684287542,3.972048534307462,4.040629358390153,3.9304875709460467,3.9463313060501575,3.9807694674013767,3.9763981431504734,4.012124649946978,4.001105597762004,3.941519257963462,4.014611530417248,3.9288280402457185,3.950126558996207,3.9441359248273455,3.9738191374911076,3.94746655810621,3.9637088895643084,3.980572016362542,3.9449169720163133,3.9963913259295594,4.0031879427809365,3.9872544771534546,3.9240745728206887,3.9603924903758783,3.984669811320788,3.985471351753599,4.006333652311168,4.012037288250104,3.927937562449631,3.9409445829127967,3.9508787880517526,3.8495305922385508,3.975249623788793,3.9958373498622475,3.9810761971554265,4.02862010884652,3.9632304289914746,4.04631593330017,4.002893090824423,3.964459462619921,4.0298037944806415,3.961077225380277,3.883243520898517,4.024121414455741,3.9330442529804492,3.982136806434705,3.9440192303249217,3.9742283132414657,3.971970052730785,3.979051083179871,4.023632145574638,3.9451512815462193,3.9603070621137735,3.961774194379337,4.028464728692527,4.053038896214438,3.93312999678674,3.9884779580836924,3.8899736900058177,3.862148062678001,4.027092131085869,3.867252898718122,3.8953139410828284,3.997844976972085,3.9473351216749384,3.999114771761736,4.005621632375415,3.921681755967394,3.8404698407176685,3.9618622421553016,3.9403962067487277,3.8561109427990847,3.9117914508012293,3.9726008365555288,3.9855586203790905,3.936612179649948,3.9260073819650207,3.9587095491463096,3.9701985643322923,3.889542240372166,3.9769903171352365,3.9632441283524398,4.015454185326439,3.978678593450831,3.931300228357642
